"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","01/11/2014","15:08:09","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/11/2014","15:08:09","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/11/2014","16:08:10","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/11/2014","16:08:10","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/11/2014","17:08:11","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/11/2014","17:08:11","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","11:55:31","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","11:55:31","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","12:53:41","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","12:53:41","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","13:53:42","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","13:53:42","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","14:53:43","scope-context","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
"ERROR","web-0","01/12/2014","14:53:43","client storage","access denied to execute ""Delete"" SQL statement for datasource myBlogInsert
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:116):116
	at railo.runtime.type.util.QueryUtil.checkSQLRestriction(QueryUtil.java:104):104
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:200):200
	at railo.runtime.type.QueryImpl.<init>(QueryImpl.java:183):183
	at railo.runtime.type.scope.storage.db.Ansi92.clean(Ansi92.java:155):155
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner.clean(DatasourceStorageScopeCleaner.java:56):56
	at railo.runtime.type.scope.storage.clean.DatasourceStorageScopeCleaner._clean(DatasourceStorageScopeCleaner.java:39):39
	at railo.runtime.type.scope.storage.clean.StorageScopeCleanerSupport.clean(StorageScopeCleanerSupport.java:43):43
	at railo.runtime.type.scope.storage.StorageScopeEngine.clean(StorageScopeEngine.java:26):26
	at railo.runtime.type.scope.ScopeContext.clearUnused(ScopeContext.java:713):713
	at railo.runtime.engine.Controler.run(Controler.java:148):148
	at railo.runtime.engine.Controler.run(Controler.java:96):96
"
